Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-10-04,2022-10-04,5296,ELECTRONIC PAYMENT,Payment/Credit,,343.33
2022-10-04,2022-10-04,5296,ELECTRONIC PAYMENT,Payment/Credit,,26.13
2022-10-02,2022-10-04,5296,RALPH BRENNAN'S JAZZ K,Dining,121.82,
2022-10-02,2022-10-04,5296,DLR THE STAR TRADER,Merchandise,14.54,
2022-10-02,2022-10-04,5296,DLR AUTOPIA STORE,Merchandise,10.76,
2022-10-02,2022-10-04,5296,DLR ACORNS GIFTS,Merchandise,8.76,
2022-10-02,2022-10-04,5296,DLR ACORNS GIFTS,Merchandise,14.61,
2022-10-02,2022-10-04,5296,DLR PLAZA INN,Dining,118.53,
2022-10-02,2022-10-03,5296,2075-CLT CNBC NEWS C 1,Merchandise,15.09,
2022-09-29,2022-09-30,5296,CVS/PHARMACY #07089,Health Care,26.13,
2022-09-27,2022-09-28,5296,DOMINO'S 5593,Dining,33.60,
2022-09-27,2022-09-28,5296,THE UPS STORE 6958,Other Services,129.73,
2022-09-28,2022-09-28,5296,ELECTRONIC PAYMENT,Payment/Credit,,343.69
2022-09-26,2022-09-27,5296,WALGREENS #15008,Health Care,96.25,
2022-09-23,2022-09-24,5296,BENCHMARK PHYSICAL THE,Health Care,20.00,
2022-09-22,2022-09-23,5296,WICKED FRIES,Dining,80.17,
2022-09-22,2022-09-22,5296,ELECTRONIC PAYMENT,Payment/Credit,,229.80
2022-09-21,2022-09-22,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-20,2022-09-20,5296,ELECTRONIC PAYMENT,Payment/Credit,,134.32
2022-09-19,2022-09-20,5296,WALGREENS #15008,Health Care,182.42,
2022-09-19,2022-09-20,5296,WALGREENS #15008,Health Care,34.39,
2022-09-20,2022-09-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-09-19,2022-09-20,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-17,2022-09-19,5296,SQ *JEFFREY MCBRIDE,Merchandise,58.72,
2022-09-16,2022-09-17,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-16,2022-09-17,5296,DOMINO'S 5593,Dining,32.71,
2022-09-15,2022-09-16,5296,SQ *B-WELL FOODS,Dining,18.40,
2022-09-14,2022-09-15,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-13,2022-09-13,5296,ELECTRONIC PAYMENT,Payment/Credit,,301.21
2022-09-12,2022-09-13,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-09,2022-09-10,5296,GEICO  *AUTO,Insurance,216.44,
2022-09-08,2022-09-09,5296,CVS/PHARMACY #07089,Health Care,28.83,
2022-09-08,2022-09-09,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-07,2022-09-07,5296,ELECTRONIC PAYMENT,Payment/Credit,,152.00
2022-09-06,2022-09-07,5296,DOMINO'S 5593,Dining,36.00,
2022-09-06,2022-09-07,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-02,2022-09-03,5296,BENCHMARK PHYSICAL THE,Health Care,10.00,
2022-09-02,2022-09-03,5296,ACE OF SPUDS,Dining,78.12,
2022-09-01,2022-09-02,5296,SQ *JEFFREY MCBRIDE,Merchandise,63.82,
2022-09-01,2022-09-01,5296,ELECTRONIC PAYMENT,Payment/Credit,,40.00
2022-08-31,2022-09-01,5296,PHR*CAROLINAASTHMA&ALL,Health Care,40.00,
2022-08-30,2022-08-30,5296,ELECTRONIC PAYMENT,Payment/Credit,,219.03
2022-08-29,2022-08-29,5296,WORLD EDUCATION SERVIC,Other Services,193.76,
2022-08-26,2022-08-27,5296,CVS/PHARMACY #07089,Health Care,25.27,
2022-08-24,2022-08-24,5296,ELECTRONIC PAYMENT,Payment/Credit,,31.20
2022-08-23,2022-08-24,5296,RAICES EXPRESS LLC,Dining,31.20,
2022-08-23,2022-08-23,5296,ELECTRONIC PAYMENT,Payment/Credit,,48.36
2022-08-22,2022-08-23,5296,APPLE.COM/BILL,Internet,2.99,
2022-08-19,2022-08-20,5296,WALGREENS #15008,Health Care,20.37,
2022-08-19,2022-08-20,5296,TRYON MEDICAL PARTNERS,Health Care,25.00,
2022-08-17,2022-08-17,5296,ELECTRONIC PAYMENT,Payment/Credit,,99.22
2022-08-16,2022-08-17,5296,WALGREENS #15008,Health Care,99.22,
2022-08-16,2022-08-16,5296,ELECTRONIC PAYMENT,Payment/Credit,,69.95
2022-08-11,2022-08-12,5296,SQ *DAVIS STEWART CO D,Dining,18.00,
2022-08-11,2022-08-11,5296,ELECTRONIC PAYMENT,Payment/Credit,,400.00
2022-08-09,2022-08-09,5296,ELECTRONIC PAYMENT,Payment/Credit,,250.00
2022-08-03,2022-08-03,5296,ELECTRONIC PAYMENT,Payment/Credit,,500.00
2022-08-02,2022-08-03,5296,RENAUD DERY AVOCAT INC,Professional Services,995.00,
2022-08-02,2022-08-02,5296,ELECTRONIC PAYMENT,Payment/Credit,,219.11
2022-07-31,2022-08-01,5296,HARRIS TEETER #0205,Merchandise,69.11,
2022-07-31,2022-08-01,5296,DMI* DELL SALES & SERV,Merchandise,327.28,
2022-07-26,2022-07-26,5296,ELECTRONIC PAYMENT,Payment/Credit,,68.63
2022-07-23,2022-07-25,5296,DRI*AVAST Software,Merchandise,68.63,
2022-07-22,2022-07-22,5296,ELECTRONIC PAYMENT,Payment/Credit,,78.96
2022-07-22,2022-07-22,5296,ELECTRONIC PAYMENT,Payment/Credit,,50.60
2022-07-21,2022-07-22,5296,SQ *HOLY MOLY BURGERS,Dining,50.60,
2022-07-20,2022-07-21,5296,SL.NORD* VPNCOM,Merchandise,78.96,
2022-07-20,2022-07-20,5296,ELECTRONIC PAYMENT,Payment/Credit,,112.47
2022-07-19,2022-07-20,5296,WALGREENS #15008,Health Care,6.44,
2022-07-19,2022-07-20,5296,WALGREENS #15008,Health Care,97.55,
2022-07-19,2022-07-20,5296,HARRIS TEETER #0205,Merchandise,5.49,
2022-07-20,2022-07-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-07-19,2022-07-19,5296,ELECTRONIC PAYMENT,Payment/Credit,,288.82
2022-07-16,2022-07-18,5296,EXXONMOBIL    48118087,Gas/Automotive,37.17,
2022-07-16,2022-07-18,5296,PATEL BROS,Merchandise,158.03,
2022-07-16,2022-07-18,5296,PATEL BROS,Merchandise,30.22,
2022-07-16,2022-07-18,5296,HARRIS TEETER #0205,Merchandise,63.40,
2022-07-14,2022-07-14,5296,ELECTRONIC PAYMENT,Payment/Credit,,94.35
2022-07-13,2022-07-14,5296,WALGREENS #15008,Health Care,94.35,
2022-07-12,2022-07-12,5296,ELECTRONIC PAYMENT,Payment/Credit,,268.19
2022-07-09,2022-07-11,5296,THE FRESH MARKET 219,Merchandise,51.74,
2022-07-09,2022-07-11,5296,GEICO  *AUTO,Insurance,216.45,
2022-07-08,2022-07-08,5296,ELECTRONIC PAYMENT,Payment/Credit,,46.46
2022-07-07,2022-07-08,5296,CHEF KENNY'S KITCHEN L,Dining,46.46,
2022-07-06,2022-07-06,5296,ELECTRONIC PAYMENT,Payment/Credit,,94.96
2022-07-03,2022-07-04,5296,DOMINO'S 5593,Dining,30.00,
2022-07-01,2022-07-02,5296,THE FRESH MARKET 219,Merchandise,44.23,
2022-06-28,2022-06-28,5296,ELECTRONIC PAYMENT,Payment/Credit,,10.70
2022-06-27,2022-06-28,5296,WALGREENS #15008,Health Care,25.73,
2022-06-24,2022-06-25,5296,DILWORTH PACKING CO,Other Services,10.70,
2022-06-23,2022-06-23,5296,ELECTRONIC PAYMENT,Payment/Credit,,217.84
2022-06-21,2022-06-22,5296,"CTF FOOD SERVICES, LLC",Dining,30.84,
2022-06-20,2022-06-22,5296,HAM REGAL CLEANER,Other Services,24.67,
2022-06-20,2022-06-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-06-14,2022-06-14,5296,ELECTRONIC PAYMENT,Payment/Credit,,224.73
2022-06-12,2022-06-13,5296,HARRIS TEETER #0205,Merchandise,91.51,
2022-06-12,2022-06-13,5296,bath&bodyworks.com,Merchandise,38.12,
2022-06-10,2022-06-11,5296,DOMINO'S 5593,Dining,36.00,
2022-06-08,2022-06-09,5296,ACE OF SPUDS,Dining,52.08,
2022-06-08,2022-06-09,5296,ACE OF SPUDS,Dining,13.02,
2022-06-07,2022-06-07,5296,ELECTRONIC PAYMENT,Payment/Credit,,318.44
2022-06-04,2022-06-06,5296,PATEL BROS,Merchandise,216.10,
2022-06-04,2022-06-06,5296,PATEL BROS,Merchandise,32.41,
2022-06-04,2022-06-06,5296,HARRIS TEETER #0205,Merchandise,27.95,
2022-06-03,2022-06-04,5296,DLICIOUS FOODS,Dining,41.98,
2022-06-02,2022-06-02,5296,ELECTRONIC PAYMENT,Payment/Credit,,337.22
2022-05-31,2022-06-01,5296,HUDSON ST1751,Merchandise,8.98,
2022-05-31,2022-06-01,5296,HARRIS TEETER #0205,Merchandise,158.31,
2022-05-31,2022-06-01,5296,MCO WENDY'S,Dining,22.96,
2022-05-30,2022-05-31,5296,SEPHORA DISNEY SPRINGS,Merchandise,146.97,
2022-05-28,2022-05-30,5296,BEST LOCKERS DISNEY T,Other Services,15.00,
2022-05-27,2022-05-30,5296,AMC 0572 DWTN DISNEY 2,Entertainment,19.79,
2022-05-27,2022-05-30,5296,JAPAN PAVILION AT EPCO,Merchandise,63.69,
2022-05-27,2022-05-27,5296,ELECTRONIC PAYMENT,Payment/Credit,,197.93
2022-05-25,2022-05-26,5296,WALGREENS #15008,Health Care,3.00,
2022-05-25,2022-05-26,5296,FARMERS MARKET B CLT,Dining,18.15,
2022-05-25,2022-05-26,5296,2098-CLT CLT DYLAN'S C,Merchandise,10.70,
2022-05-25,2022-05-26,5296,2078-CLT MARKETPLACE B,Merchandise,5.35,
2022-05-24,2022-05-25,5296,CVS/PHARMACY #07089,Health Care,27.00,
2022-05-24,2022-05-25,5296,WALGREENS #15008,Health Care,118.00,
2022-05-24,2022-05-25,5296,DLICIOUS FOODS,Dining,15.53,
2022-05-20,2022-05-21,5296,SQ *ZIZI'S,Dining,43.93,
2022-05-20,2022-05-20,5296,ELECTRONIC PAYMENT,Payment/Credit,,135.00
2022-05-20,2022-05-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-05-18,2022-05-19,5296,THE LOST CAJUN #129,Dining,12.23,
2022-05-18,2022-05-19,5296,THE LOST CAJUN #129,Dining,20.78,
2022-05-18,2022-05-18,5296,ELECTRONIC PAYMENT,Payment/Credit,,158.36
2022-05-17,2022-05-18,5296,WALGREENS #15008,Health Care,9.00,
2022-05-17,2022-05-18,5296,WALGREENS #15008,Health Care,126.00,
2022-05-16,2022-05-17,5296,AAA MEMBERSHIP RENEWAL,Gas/Automotive,84.00,
2022-05-12,2022-05-13,5296,MICROSOFT YEARLY PLAN,Merchandise,74.36,
2022-05-11,2022-05-11,5296,ELECTRONIC PAYMENT,Payment/Credit,,74.75
2022-05-10,2022-05-11,5296,SQ *THE BLU SHACK FOOD,Dining,74.75,
2022-05-10,2022-05-10,5296,ELECTRONIC PAYMENT,Payment/Credit,,116.00
2022-05-10,2022-05-10,5296,ELECTRONIC PAYMENT,Payment/Credit,,70.00
2022-05-09,2022-05-10,5296,JENNY GANDHI DMD PLLC,Health Care,70.00,
2022-05-08,2022-05-09,5296,CVS/PHARMACY #07089,Health Care,116.00,
2022-05-06,2022-05-06,5296,ELECTRONIC PAYMENT,Payment/Credit,,40.00
2022-05-05,2022-05-06,5296,PHR*CAROLINAASTHMA&ALL,Health Care,40.00,
2022-05-04,2022-05-04,5296,ELECTRONIC PAYMENT,Payment/Credit,,26.45
2022-05-03,2022-05-04,5296,SQ *JJ'S RED HOTS MOBI,Dining,26.45,
2022-05-03,2022-05-03,5296,ELECTRONIC PAYMENT,Payment/Credit,,16.64
2022-04-26,2022-04-26,5296,ELECTRONIC PAYMENT,Payment/Credit,,51.10
2022-04-22,2022-04-23,5296,WALGREENS #15008,Health Care,10.00,
2022-04-22,2022-04-23,5296,TRYON MEDICAL PARTNERS,Health Care,25.00,
2022-04-20,2022-04-21,5296,WALGREENS #15008,Health Care,7.00,
2022-04-20,2022-04-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-04-19,2022-04-20,5296,SQ *AVALANCHE COFFEE C,Dining,6.11,
2022-04-19,2022-04-19,5296,ELECTRONIC PAYMENT,Payment/Credit,,465.44
2022-04-16,2022-04-18,5296,PATEL BROS,Merchandise,160.87,
2022-04-16,2022-04-18,5296,PATEL BROS,Merchandise,19.44,
2022-04-16,2022-04-18,5296,CVS/PHARMACY #07089,Health Care,116.00,
2022-04-14,2022-04-15,5296,WALGREENS #15008,Health Care,8.58,
2022-04-14,2022-04-15,5296,WALGREENS #15008,Health Care,176.99,
2022-04-14,2022-04-14,5296,ELECTRONIC PAYMENT,Payment/Credit,,80.29
2022-04-13,2022-04-14,5296,ACE OF SPUDS,Dining,80.29,
2022-04-12,2022-04-12,5296,ELECTRONIC PAYMENT,Payment/Credit,,79.76
2022-04-08,2022-04-11,5296,DARBY'S CUISINE,Dining,58.71,
2022-03-29,2022-03-29,5296,ELECTRONIC PAYMENT,Payment/Credit,,87.14
2022-03-27,2022-03-28,5296,HARRIS TEETER #0205,Merchandise,87.14,
2022-03-22,2022-03-22,5296,ELECTRONIC PAYMENT,Payment/Credit,,556.99
2022-03-21,2022-03-21,5296,ELECTRONIC PAYMENT,Payment/Credit,,95.71
2022-03-20,2022-03-21,5296,CVS/PHARMACY #07089,Health Care,102.00,
2022-03-20,2022-03-21,5296,HRBLOCK RETAIL,Professional Services,405.00,
2022-03-19,2022-03-21,5296,DOMINO'S 5593,Dining,54.05,
2022-03-20,2022-03-21,5296,APPLE.COM/BILL,Internet,2.99,
2022-03-18,2022-03-19,5296,WALGREENS #15008,Health Care,95.71,
2022-03-10,2022-03-10,5296,ELECTRONIC PAYMENT,Payment/Credit,,216.44
2022-03-09,2022-03-10,5296,GEICO  *AUTO,Insurance,216.44,
2022-03-08,2022-03-08,5296,ELECTRONIC PAYMENT,Payment/Credit,,345.53
2022-03-06,2022-03-08,5296,PATEL BROS,Merchandise,199.88,
2022-03-06,2022-03-07,5296,EXXONMOBIL    48118087,Gas/Automotive,25.87,
2022-03-06,2022-03-07,5296,HARRIS TEETER #0205,Merchandise,119.78,
2022-03-01,2022-03-01,5296,ELECTRONIC PAYMENT,Payment/Credit,,323.12
2022-02-27,2022-02-28,5296,HARRIS TEETER #0205,Merchandise,172.98,
2022-02-25,2022-02-26,5296,LABCORP8008456167,Health Care,99.15,
2022-02-22,2022-02-23,5296,NEW CREATIONS SALON,Other Services,48.00,
2022-02-20,2022-02-21,5296,APPLE.COM/BILL,Internet,2.99,
2022-02-12,2022-02-14,5296,UNIVERSAL FL/LOCKERS,Other Services,2.00,
2022-02-11,2022-02-12,5296,UNIVERSAL FL/LOCKERS,Other Services,2.00,
2022-02-11,2022-02-11,5296,ELECTRONIC PAYMENT,Payment/Credit,,36.00
2022-02-09,2022-02-11,5296,PHR*CAROLINAASTHMA&ALL,Health Care,36.00,
2022-02-10,2022-02-10,5296,ELECTRONIC PAYMENT,Payment/Credit,,86.46
2022-02-08,2022-02-10,5296,QUEEN CITY GIFTS AND N,Merchandise,16.06,
2022-02-08,2022-02-09,5296,LOEWS PORTFINO BAY FB,Dining,66.39,
2022-02-08,2022-02-09,5296,2078-CLT MARKETPLACE B,Merchandise,14.01,
2022-02-08,2022-02-08,5296,ELECTRONIC PAYMENT,Payment/Credit,,12.45
2022-02-03,2022-02-03,5296,ELECTRONIC PAYMENT,Payment/Credit,,221.43
2022-02-02,2022-02-03,5296,WALGREENS #15008,Health Care,221.76,
2022-02-02,2022-02-02,5296,ELECTRONIC PAYMENT,Payment/Credit,,29.11
2022-02-01,2022-02-02,5296,HARRIS TEETER #0205,Merchandise,29.11,
2022-01-25,2022-01-25,5296,ELECTRONIC PAYMENT,Payment/Credit,,24.79
2022-01-25,2022-01-25,5296,ELECTRONIC PAYMENT,Payment/Credit,,138.41
2022-01-24,2022-01-25,5296,MECKLENBURG RADIOLOGY,Health Care,24.79,
2022-01-22,2022-01-24,5296,PAY* NOVANT#8442668268,Health Care,138.41,
2022-01-20,2022-01-20,5296,APPLE.COM/BILL,Internet,2.99,
2022-01-19,2022-01-19,5296,ELECTRONIC PAYMENT,Payment/Credit,,219.84
2022-01-16,2022-01-17,5296,GOV*NC DMV,Other Services,219.84,
2022-01-11,2022-01-11,5296,ELECTRONIC PAYMENT,Payment/Credit,,319.45
2022-01-09,2022-01-10,5296,CVS/PHARMACY #07089,Health Care,64.00,
2022-01-08,2022-01-10,5296,DOMINO'S 5593,Dining,46.80,
2022-01-09,2022-01-10,5296,GEICO  *AUTO,Insurance,216.45,
2022-01-07,2022-01-07,5296,ELECTRONIC PAYMENT,Payment/Credit,,350.00
2022-01-06,2022-01-07,5296,CPCU SOCIETY,Other Services,350.00,
2022-01-04,2022-01-04,5296,ELECTRONIC PAYMENT,Payment/Credit,,33.59
2022-01-04,2022-01-04,5296,ELECTRONIC PAYMENT,Payment/Credit,,357.82
2022-01-02,2022-01-03,5296,CVS/PHARMACY #07089,Health Care,11.00,
2021-12-31,2022-01-03,5296,PATEL BROS,Merchandise,237.82,
2021-12-31,2022-01-03,5296,EXXONMOBIL    48118087,Gas/Automotive,22.59,

